CPU-etcd-minikube,CPU-kalic,Memory_Cache-etcd-minikube,Memory_Cache-kalic,Memory-etcd-minikube,Memory-kalic,write-etcd-minikube,write-kalic
0.211,294.52,23.1,2088.96,72.5,203,8.0,6.11
0.208,294.93,23.2,2211.84,72.5,207,8.08,6.1
0.204,295.3,23.2,2314.24,72.5,210,8.02,6.09
0.202,295.66,23.2,2447.36,72.5,215,8.01,6.11
0.19,296.07,23.2,1873.92,72.5,194,7.61,6.11
0.198,296.51,23.3,1679.36,72.5,188,7.94,6.2
0.196,296.65,23.3,1740.8,72.5,202,7.82,6.1
0.197,296.62,23.3,1873.92,72.5,192,7.9,6.13
0.195,296.69,23.3,1976.32,72.5,198,7.94,6.15
0.188,279.54,23.4,2048.0,72.5,199,7.67,5.78
0.195,296.8,23.4,2232.32,72.5,204,8.0,6.13
0.196,286.09,23.4,2293.76,72.5,207,7.93,5.95
0.192,296.97,23.4,2457.6,72.5,210,7.7,6.2
0.199,297.03,23.5,2570.24,72.5,225,7.95,6.21
0.198,297.11,23.5,1638.4,72.5,188,7.92,6.18
0.199,297.14,23.5,1792.0,72.5,198,7.96,6.11
0.198,297.22,23.6,1904.64,72.5,215,7.89,6.07
0.198,297.22,23.6,2007.04,72.5,196,7.96,6.05
0.199,297.22,23.6,2129.92,72.5,201,7.96,6.01
0.199,297.25,23.6,2232.32,72.5,205,7.97,6.02
0.199,297.17,23.7,2355.2,72.5,206,7.96,5.97
0.199,297.14,23.7,2426.88,72.5,203,8.02,5.9
0.194,297.1,23.7,1628.16,72.5,190,7.97,5.95
0.195,297.08,23.7,1699.84,72.5,190,7.94,6.0
0.196,297.11,23.8,1761.28,72.5,188,8.08,5.97
0.194,297.13,23.8,1884.16,72.5,201,7.91,6.02
0.177,284.51,23.8,1996.8,72.5,199,7.15,5.77
0.194,297.23,23.8,2109.44,72.5,207,8.0,6.06
0.186,283.74,23.9,2252.8,72.5,204,7.68,5.76
0.194,286.52,23.9,2314.24,72.5,210,7.99,5.81
0.195,297.29,23.9,2467.84,72.5,216,8.03,6.05
0.195,297.3,23.9,2570.24,72.5,219,8.06,6.04
0.195,297.27,24.0,1710.08,72.5,191,8.12,6.13
0.196,297.24,24.0,1832.96,72.5,205,8.1,6.15
0.196,297.27,24.0,1894.4,72.5,196,8.16,6.16
0.195,297.29,24.0,2037.76,72.5,201,8.15,6.09
0.195,297.28,24.1,2160.64,72.5,203,7.98,6.08
0.195,297.2,24.1,2263.04,72.5,210,7.98,6.1
0.195,297.2,24.1,2334.72,72.5,208,8.07,6.11
0.188,297.19,24.1,2467.84,72.5,209,7.72,6.07
0.195,297.2,24.2,1587.2,72.5,185,8.03,6.09
0.196,297.18,24.2,1699.84,72.5,192,8.04,6.17
0.197,296.74,24.2,1812.48,72.5,196,7.99,6.09
0.193,296.23,24.3,1955.84,72.5,193,7.7,6.1
0.203,295.88,24.3,2007.04,72.5,189,7.98,6.13
0.203,295.38,24.3,2129.92,72.5,201,7.97,6.14
0.197,294.91,24.3,2283.52,72.5,210,7.55,6.2
0.208,294.44,24.4,2396.16,72.5,211,7.95,6.25
0.212,294.11,24.4,2467.84,72.5,219,8.01,6.28
0.214,279.74,24.4,1597.44,72.5,184,7.98,6.07
0.21,279.17,24.4,1730.56,72.8,196,7.77,6.09
0.215,293.28,24.5,1843.2,72.5,203,8.07,6.38
0.214,293.58,24.5,1955.84,72.5,204,8.13,6.4
0.213,293.93,24.5,2017.28,72.5,199,8.08,6.38
0.193,294.23,24.5,2160.64,72.5,204,7.42,6.33
0.202,294.44,24.6,2232.32,72.5,203,7.83,6.34
0.209,294.9,24.6,2355.2,72.5,222,8.03,6.36
0.206,295.35,24.6,2467.84,72.5,211,8.09,6.34
0.203,295.7,24.6,1597.44,72.5,194,7.99,6.31
0.201,296.05,24.7,1699.84,72.5,187,8.06,6.27
0.201,296.1,24.7,1812.48,72.5,193,7.99,6.13
0.201,296.1,24.7,1925.12,72.5,196,7.99,6.04
0.2,296.14,24.8,2037.76,72.5,196,7.95,6.06
0.198,296.25,24.8,2181.12,72.5,203,7.89,6.08
0.197,296.35,24.8,2283.52,72.5,212,7.9,6.06
0.197,286.24,24.8,2344.96,72.5,200,7.92,5.8
0.197,296.48,24.9,2488.32,72.5,211,7.94,5.98
0.198,296.47,24.9,1638.4,72.6,187,7.98,6.04
0.198,296.52,24.9,1710.08,72.6,190,7.99,6.04
0.197,296.64,24.9,1832.96,72.6,193,8.0,6.02
0.197,296.88,25.0,1945.6,72.6,200,7.96,6.0
0.197,285.21,25.0,2017.28,72.6,197,8.01,5.8
0.196,297.11,25.0,2181.12,72.6,203,7.94,6.03
0.191,285.85,25.0,2232.32,72.6,205,7.68,5.8
0.198,297.18,25.1,2416.64,72.6,209,7.92,6.02
0.197,297.18,25.1,2467.84,72.6,214,7.91,5.99
0.196,297.16,25.1,1648.64,72.6,188,7.87,6.1
0.197,286.26,25.1,1689.6,72.6,192,7.9,5.75
0.197,297.25,25.2,1832.96,72.6,193,7.92,6.0
0.198,284.45,25.2,1945.6,72.6,193,7.92,5.77
0.198,297.31,25.2,2088.96,72.6,204,7.96,6.02
0.198,297.26,25.2,2140.16,72.6,201,7.92,5.99
0.197,297.16,25.3,2283.52,72.6,206,7.96,6.01
0.198,297.08,25.3,2385.92,72.6,215,8.04,6.04
0.199,297.02,25.3,2529.28,72.6,218,8.03,6.04
0.19,297.02,25.3,1648.64,72.6,197,7.72,6.12
0.198,297.09,25.4,1751.04,72.6,191,7.95,6.08
0.197,297.0,25.4,1873.92,72.6,190,7.96,6.07
0.199,296.94,25.4,1945.6,72.6,198,8.05,6.06
0.193,296.88,25.4,2068.48,72.6,199,7.78,6.04
0.198,296.78,25.5,2201.6,72.6,203,8.0,6.07
0.198,296.83,25.5,2263.04,72.6,208,7.99,6.03
0.198,296.85,25.5,2396.16,72.6,212,7.91,6.06
0.192,296.84,25.5,2529.28,72.6,212,7.74,6.05
0.2,296.83,25.6,1638.4,72.6,185,7.98,6.1
0.199,296.76,25.6,1771.52,72.6,202,8.03,6.04
0.198,296.72,25.6,1843.2,72.6,191,7.97,6.0
